Section,Room,Professor
AA_Mon830-950.Wed830-950.Tue1005-1125.Thu1005-1125.Mon600-720.Fri830-950,0020_Mon830-950.Mon1005-1125.Mon115-235.Mon250-410.Mon425-545.Mon600-720.Tue830-950.Tue1005-1125.Tue115-235.Tue250-410.Tue600-720.Wed830-950.Wed1005-1125.Wed115-235.Wed250-410.Wed425-545.Wed600-720.Thu830-950.Thu1005-1125.Thu115-235.Thu250-410.Thu600-720.Fri830-950.Fri1005-1125.Fri115-235.Fri250-410,Marsherall_AA.AC.BA.BB.BC.CA.CB.CC
AB_Mon830-950.Wed830-950.Tue115-235.Thu115-235.Mon600-720.Fri830-950,0032_Mon1005-1125.Mon425-545.Tue830-950.Tue1005-1125.Tue1140-100.Wed1005-1125.Wed1140-100.Wed425-545.Thu830-950.Thu1005-1125.Thu1140-100.Fri830-950.Fri1005-1125,Lindsay_DA.DB.DC.EA.EB.EC.IA.IB.IC
BA_Mon1005-1125.Wed1005-1125.Tue1005-1125.Thu1005-1125.Mon115-235.Fri1005-1125,0033_Mon830-950.Mon1005-1125.Mon115-235.Mon250-410.Mon600-720.Tue830-950.Tue1005-1125.Tue115-235.Tue250-410.Wed830-950.Wed1005-1125.Wed115-235.Wed250-410.Wed600-720.Thu830-950.Thu1005-1125.Thu115-235.Thu250-410.Fri830-950.Fri1005-1125.Fri115-235.Fri250-410,Koons_FC.GA.GB.GC.HA.HB.HC
BB_Mon1005-1125.Wed1005-1125.Tue250-410.Thu250-410.Mon115-235.Fri1005-1125,0042_.Tue830-950.Tue1005-1125.Thu830-950.Thu1005-1125,Alexander_AA.BA.DC.EB.IA
CA_Mon115-235.Wed115-235.Tue250-410.Thu250-410.Mon830-950.Fri830-950,1023_Mon115-235.Mon250-410.Mon425-545.Mon600-720.Tue830-950.Tue1005-1125.Tue1140-100.Tue115-235.Tue250-410.Tue425-545.Tue600-720.Wed830-950.Wed1005-1125.Wed1140-100.Wed115-235.Wed250-410.Wed425-545.Wed600-720.Thu830-950.Thu1005-1125.Thu1140-100.Thu115-235.Thu250-410.Thu425-545.Thu600-720.Fri830-950.Fri1005-1125.Fri1140-100.Fri600-720,Dutro_AB.DA.FC.GC
CB_Mon115-235.Wed115-235.Tue1140-100.Thu1140-100.Mon830-950.Fri830-950,0303_Mon830-950.Mon1005-1125.Mon1140-100.Mon115-235.Mon250-410.Mon425-545.Tue830-950.Tue1005-1125.Tue1140-100.Tue115-235.Tue250-410.Tue425-545.Tue600-720.Wed830-950.Wed1005-1125.Wed1140-100.Wed115-235.Wed250-410.Wed425-545.Thu830-950.Thu1005-1125.Thu1140-100.Thu115-235.Thu250-410.Thu425-545.Thu600-720,Reitz_AC.CA.DB.EA.FA
DA_Mon250-410.Wed250-410.Tue830-950.Thu830-950.Mon425-545.Fri250-410,,Chisum_BB.IB
DB_Mon250-410.Wed250-410.Tue830-950.Thu830-950.Mon425-545.Fri250-410,,Morrison_BC.CC.EC.GA
EA_Mon425-545.Wed425-545.Tue115-235.Thu115-235.Mon250-410.Fri1005-1125,,Hulshult_CB.FB.GB.HC.IC
EB_Mon425-545.Wed425-545.Tue1140-100.Thu1140-100.Mon250-410.Fri1005-1125,,Carsey_HA.HB
FA_Mon830-950.Wed830-950.Tue115-235.Thu115-235.Mon1005-1125.Fri1005-1125,,Zoeckler_AA.GA.GB.HA
FB_Mon830-950.Wed830-950.Tue600-720.Thu600-720.Mon425-545.Fri250-410,,Eyman_BA.DB.HB.IA
GA_Mon1005-1125.Wed1005-1125.Tue830-950.Thu1005-1125.Mon600-720.Fri830-950,,Troy_BB.CB.DA.EA.
GB_Mon1005-1125.Wed1005-1125.Tue830-950.Thu830-950.Mon115-235.Fri830-950,,Sears_CA.EB.FA.FB.FC
HA_Mon115-235.Wed115-235.Tue250-410.Thu250-410.Mon425-545.Fri250-410,,Morris_AA.AB.BA.BB.BC.DB.HA
HB_Mon115-235.Wed115-235.Tue830-950.Thu830-950.Mon1005-1125.Fri1005-1125,,Palmisano_CA.CB.FA.HB
IA_Mon250-410.Wed250-410.Tue1005-1125.Thu1005-1125.Mon115-235.Fri115-235,,Becker_DA.EA.EB.FB.GA.GB.HA.IA.IB
IB_Mon250-410.Wed250-410.Tue1140-100.Thu1140-100.Mon600-720.Fri115-235,,